insect_species_id	numberOnListedHosts	numberOnAnyHost	Family	Genus	Species	Proportion	scientificName
54611	1	505	Aphididae	Macrosiphum (Macrosiphum)	euphorbiae	0.001980198	Macrosiphum (Macrosiphum) euphorbiae
54962	1	179	Aphididae	Prociphilus (Prociphilus)	erigeronensis	0.005586592	Prociphilus (Prociphilus) erigeronensis
40636	1	164	Membracidae	Cyrtolobus	maculifrontis	0.006097561	Cyrtolobus maculifrontis
54745	1	144	Aphididae	Myzocallis (Neomyzocallis)	punctata	0.006944444	Myzocallis (Neomyzocallis) punctata
50719	1	113	Miridae	Lygus	hesperus	0.008849558	Lygus hesperus
81439	1	109	Coccidae	Parthenolecanium	corni	0.009174312	Parthenolecanium corni
53862	1	101	Aphididae	Acyrthosiphon (Acyrthosiphon)	pisum	0.00990099	Acyrthosiphon (Acyrthosiphon) pisum
63648	1	97	Diaspididae	Parlatoria	proteus	0.010309278	Parlatoria proteus
297	1	97	Miridae	Plagiognathus	albatus	0.010309278	Plagiognathus albatus
40639	2	188	Membracidae	Atymna	querci	0.010638298	Atymna querci
2230	1	85	Miridae	Parthenicus	juniperi	0.011764706	Parthenicus juniperi
40559	5	368	Membracidae	Platycotis	vittata	0.013586957	Platycotis vittata
78099	1	71	Lygaeidae	Nysius	raphanus	0.014084507	Nysius raphanus
5165	4	284	Miridae	Rhinacloa	forticornis	0.014084507	Rhinacloa forticornis
1510	1	69	Miridae	Lopidea	picta	0.014492754	Lopidea picta
73518	1	68	Miridae	Dichrooscytus	latifrons	0.014705882	Dichrooscytus latifrons
6340	2	132	Miridae	Pygovepres	vaccinicola	0.015151515	Pygovepres vaccinicola
53931	3	195	Aphididae	Aphis (Aphis)	craccivora	0.015384615	Aphis (Aphis) craccivora
37485	5	320	Miridae	Deraeocoris	brevis	0.015625	Deraeocoris brevis
54048	1	63	Aphididae	Aphis (Protaphis)	middletonii	0.015873016	Aphis (Protaphis) middletonii
1499	1	60	Miridae	Lopidea	nigridia	0.016666667	Lopidea nigridia
40601	1	59	Membracidae	Ophiderma	flava	0.016949153	Ophiderma flava
406	1	55	Miridae	Phoenicocoris	strobicola	0.018181818	Phoenicocoris strobicola
549	1	53	Miridae	Tuxedo	cruralis	0.018867925	Tuxedo cruralis
4788	3	152	Miridae	Psallovius	piceicola	0.019736842	Psallovius piceicola
54952	1	50	Aphididae	Prociphilus (Meliarhizophagus)	fraxinifolii	0.02	Prociphilus (Meliarhizophagus) fraxinifolii
6310	1	47	Miridae	Teleorhinus	cyaneus	0.021276596	Teleorhinus cyaneus
40268	1	47	Miridae	Ectopiocerus	anthracinus	0.021276596	Ectopiocerus anthracinus
54953	1	42	Aphididae	Prociphilus (Neoparacletus)	corrugatans	0.023809524	Prociphilus (Neoparacletus) corrugatans
373	1	41	Miridae	Plagiognathus	verticalis	0.024390244	Plagiognathus verticalis
41129	1	41	Miridae	Pinalitus	approximatus	0.024390244	Pinalitus approximatus
550	1	38	Miridae	Tuxedo	susansolomonae	0.026315789	Tuxedo susansolomonae
