Hibiscus arnottianus
Tsuga canadensis
Ulmus americana
Polygonella myriophylla
Phyllostegia hirsuta
Castanea dentata
torreya taxifolia
Malacothamnus fasciculatus
Fremontodendron californicum
Sesbania tomentosa
Astragalus magdalenae
Echinocactus horizonthalonius
Cercocarpus traskiae
Astragalus lentiginosus
Sidalcea oregana
Castilleja affinis
Oxytropis campestris
Urera kaalae
Oenothera deltoides
Lupinus oreganus
Monardella linoides
Lilium pardalinum
Dubautia plantaginea
Eryngium cuneifolium
Arctostaphylos glandulosa
Lindera melissifolia
Phyllostegia parviflora
Chamaesyce celastroides
Cordylanthus mollis
Echinacea laevigata
Arctomecon humilis
Cyanea truncata
