id	h_family	h_genus	h_species	i_family	i_tribe	i_genus	i_species	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_number_same_h	coll_percent	h_n_specimens	i_h_same_g	i_h_same_f	i_j_h_col_event	i_j_same_col	h_voucher	coll_total_i	rel_confidence	redList
56	Pinaceae	Pinus	flexilis	Miridae	Phylini	Pinophylus	stonedahli	6296	6292	6129	557	62	554	747	6	0	2	FALSE	FALSE	0	0	0	6	LOW	FALSE
85	Sarcobataceae	Sarcobatus	vermiculatus	Miridae	Phylini	Megalopsallus	flammeus	6296	6292	6027	4	7960	587	960	4	0	7	FALSE	FALSE	0	0	0	4	LOW	FALSE
87	Asteraceae	Artemisia	californica	Miridae	Phylini	Europiella	pintoi	6296	6292	5876	32	98	418	8601	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
88	Rosaceae	Cercocarpus	montanus	Miridae	Phylini	Oligotylus	schwartzi	6296	6292	6073	511	376	448	842	3	0	5	FALSE	FALSE	0	0	0	3	LOW	FALSE
100	Boraginaceae	Phacelia	distans	Miridae	Phylini	Plagiognathus	phaceliae	6296	6292	6132	537	113	548	727	1	0	2	FALSE	FALSE	0	0	0	1	LOW	FALSE
102	Grossulariaceae	Ribes	cereum	Miridae	Phylini	Plagiognathus	polhemorum	6296	6292	6132	523	227	578	696	14	0	32	FALSE	FALSE	0	0	0	14	LOW	FALSE
120	Amaranthaceae	Salicornia	rubra	Miridae	Phylini	Megalopsallus	femoralis	6296	6292	6027	8	83	582	8732	1	0	2	FALSE	FALSE	0	0	0	1	LOW	FALSE
140	Asteraceae	Noticastrum	sericeum	Miridae	Phylini	Plagiognathus	astericola	6296	6292	6132	382	98	17491	17492	1	0	2	FALSE	FALSE	0	0	0	1	LOW	FALSE
163	Asteraceae	Artemisia	cana	Miridae	Phylini	Chlamydatus	artemisiae	6296	6292	5807	83	98	418	683	3	0	4	FALSE	FALSE	0	0	0	3	LOW	FALSE
164	Asteraceae	Centranthus	pungens	Miridae	Phylini	Chlamydatus	californicus	6296	6292	5807	538	98	5626	9573	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
190	Pinaceae	Abies	procera	Miridae	Phylini	Plagiognathus	fenderi	6296	6292	6132	504	62	394	882	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
192	Pinaceae	Pseudotsuga	menziesii	Miridae	Phylini	Plagiognathus	piceicola	6296	6292	6132	534	62	568	831	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
208	Pinaceae	Larix	laricina	Miridae	Phylini	Plagiognathus	flavicornis	6296	6292	6132	321	62	516	799	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
264	Elaeagnaceae	Shepherdia	argentea	Miridae	Phylini	Plagiognathus	shepherdiae	6296	6292	6132	363	197	590	658	1	0	3	FALSE	FALSE	0	0	0	1	LOW	FALSE
294	Sarcobataceae	Sarcobatus	vermiculatus	Miridae	Phylini	Megalopsallus	sarcobati	6296	6292	6027	19	7960	587	960	16	0	10	FALSE	FALSE	0	0	0	16	LOW	FALSE
331	Sarcobataceae	Sarcobatus	vermiculatus	Miridae	Phylini	Megalopsallus	knowltoni	6296	6292	6027	5	7960	587	960	8	0	4	FALSE	FALSE	0	0	0	8	LOW	FALSE
508	Fabaceae	Amorpha	californica	Miridae	Phylini	Plagiognathus	urticae	6296	6292	6132	372	211	408	9243	1	0	2	FALSE	FALSE	0	0	0	1	LOW	FALSE
520	Asteraceae	Artemisia	tridentata	Miridae	Phylini	Chlamydatus	montanus	6296	6292	5807	92	98	418	948	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
529	Rosaceae	Adenostoma	fasciculatum	Miridae	Phylini	Adenostomocoris	semiustus	6296	6292	5706	176	376	400	8641	21	0	18	FALSE	FALSE	0	0	0	21	LOW	FALSE
812	Rosaceae	Lyonothamnus	floribundus	Miridae	Phylini	Maculamiris	insulanus	6296	6292	6313	6330	376	1164	1165	1	0	5	FALSE	FALSE	0	0	0	1	LOW	FALSE
822	Fagaceae	Quercus	agrifolia	Miridae	Phylini	Quercophylus	gonoporospinus	6296	6292	6334	6335	68	571	632	7	0	71	FALSE	FALSE	0	0	0	7	LOW	FALSE
880	Fagaceae	Quercus	chrysolepis	Miridae	Phylini	Rubellomiris	sparus	6296	6292	6346	6350	68	571	698	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
909	Fagaceae	Quercus	wislizeni	Miridae	Phylini	Rubellomiris	bispinosus	6296	6292	6346	6348	68	571	2687	3	0	10	FALSE	FALSE	0	0	0	3	LOW	FALSE
951	Asteraceae	Parthenium	incanum	Miridae	Orthotylini	Jornandes	albipes	6296	6291	5953	34236	98	543	782	1	0	2	FALSE	FALSE	0	0	0	1	LOW	FALSE
962	Rosaceae	Cercocarpus	montanus	Miridae	Orthotylini	Slaterocoris	alpinus	6296	6291	6200	2537	376	448	842	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
965	Rosaceae	Cercocarpus	betuloides	Miridae	Phylini	Cercocarpopsallus	gracilis	6296	6292	6445	6447	376	448	674	1	0	20	FALSE	FALSE	0	0	0	1	LOW	FALSE
989	Fagaceae	Quercus	gambelii	Miridae	Phylini	Bisulcopsallus	polhemorum	6296	6292	6469	6471	68	571	754	10	0	11	FALSE	FALSE	0	0	0	10	LOW	FALSE
997	Scrophulariaceae	Verbascum	nigrum	Miridae	Phylini	Campylomma	novaki	6296	6292	5790	3160	3	616	1293	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
998	Lamiaceae	Salvia	acetabulosa	Miridae	Phylini	Chlorillus	pictoides	6296	6292	5808	3274	264	585	1294	1	0	13	FALSE	FALSE	0	0	0	1	LOW	FALSE
999	Capparaceae	Maerua	crassifolia	Miridae	Phylini	Ectagela	punctata	6296	6292	5861	3559	135	1295	8621	1	0	3	FALSE	FALSE	0	0	0	1	LOW	FALSE
1000	Apiaceae	Bupleurum	semidiaphanum	Miridae	Phylini	Eurycolpus	bipunctatus	6296	6292	5877	3639	89	1296	1297	1	0	17	FALSE	FALSE	0	0	0	1	LOW	FALSE
1003	Fagaceae	Quercus	suber	Miridae	Phylini	Malacotes	subris	6296	6292	6013	4062	68	571	1301	2	0	6	FALSE	FALSE	0	0	0	2	LOW	FALSE
1004	Asteraceae	Matricaria	aurea	Miridae	Phylini	Megalocoleus	matricariae	6296	6292	6025	4121	98	531	9399	1	0	2	FALSE	FALSE	0	0	0	1	LOW	FALSE
1005	Asteraceae	Achillea	santolinea	Miridae	Phylini	Oncotylidea	amplipilis	6296	6292	6076	4270	98	399	1303	1	0	13	FALSE	FALSE	0	0	0	1	LOW	FALSE
1011	Rhamnaceae	Condalia	spathulata	Miridae	Phylini	Arizonapsallus	stonedahli	6296	6292	6474	6475	373	458	1310	1	0	12	FALSE	FALSE	0	0	0	1	LOW	FALSE
1012	Rosaceae	Vauquelinia	californica	Miridae	Phylini	Ceratopsallus	vauqueliniae	6296	6292	6448	6476	376	1311	9968	1	0	9	FALSE	FALSE	0	0	0	1	LOW	FALSE
1014	Cistaceae	Helianthemum	croceum	Miridae	Phylini	Tinicephalus	delamarei	6296	6292	6242	5455	153	1313	1314	1	0	11	FALSE	FALSE	0	0	0	1	LOW	FALSE
1015	Cistaceae	Helianthemum	cinerum	Miridae	Phylini	Tinicephalus	nigropilosus	6296	6292	6242	5463	153	1313	1316	1	0	1	FALSE	FALSE	0	0	0	1	LOW	FALSE
1026	Rosaceae	Sorbus	domestica	Miridae	Phylini	Psallus	sorbi	6296	6292	6154	5030	376	1327	1328	1	0	2	FALSE	FALSE	0	0	0	1	LOW	FALSE
1029	Cucurbitaceae	Sechium	edule	Miridae	Orthotylini	Slaterocoris	punctatus	6296	6291	6200	40488	170	5903	8634	1	0	9	FALSE	FALSE	0	0	0	1	LOW	FALSE
1042	Solanaceae	Lycium	cooperi	Miridae	Phylini	Chlamyopsallus	lycii	6296	6292	6490	6491	9	528	708	5	0	4	FALSE	FALSE	0	0	0	5	LOW	FALSE
1043	Boraginaceae	Tiquilia	greggii	Miridae	Orthotylini	Pseudopsallus	greggii	6296	6291	6165	6492	113	1145	9516	3	0	1	FALSE	FALSE	0	0	0	3	LOW	FALSE
1044	Boraginaceae	Tiquilia	palmeri	Miridae	Orthotylini	Pseudopsallus	tiquiliae	6296	6291	6165	6493	113	1145	1146	9	0	27	FALSE	FALSE	0	0	0	9	LOW	FALSE
1060	Fabaceae	Mimosa	rhododactyla	Miridae	Orthotylini	Oaxacacoris	schaffneri	6296	6291	6069	1733	211	1265	1361	1	0	4	FALSE	FALSE	0	0	0	1	LOW	FALSE
1062	Nyctaginaceae	Abronia	elliptica	Miridae	Orthotylini	Pseudopsallus	abroniae	6296	6291	6165	2366	320	1198	1363	1	0	25	FALSE	FALSE	0	0	0	1	LOW	FALSE
1117	Fabaceae	Psorothamnus	emoryi	Miridae	Orthotylini	Daleapidea	decorata	6296	6291	5838	909	211	1357	9456	1	0	255	FALSE	FALSE	0	0	0	1	LOW	FALSE
1133	Pinaceae	Pinus	densiflora	Miridae	Phylini	Plesiodema	gotohi	6296	6292	6138	6655	62	554	1451	7	0	3	FALSE	FALSE	0	0	0	7	LOW	FALSE
1148	Fabaceae	Acacia	paradoxa	Miridae	Phylini	Polyozus	mina	6296	6292	6771	6775	211	396	2410	2	0	10	FALSE	FALSE	0	0	0	2	LOW	FALSE
1152	Oleaceae	Notelaea	microcarpa	Miridae	Phylini	Polyozus	manilla	6296	6292	6771	6778	325	1738	2348	2	0	29	FALSE	FALSE	0	0	0	2	LOW	FALSE
