numberInsectOnListedHosts	numberInsectOnAnyHost	Family	scientificName	Proportion
1	505	Aphididae	Macrosiphum (Macrosiphum) euphorbiae	0.001980198
1	179	Aphididae	Prociphilus (Prociphilus) erigeronensis	0.005586592
1	164	Membracidae	Cyrtolobus maculifrontis	0.006097561
1	144	Aphididae	Myzocallis (Neomyzocallis) punctata	0.006944444
1	113	Miridae	Lygus hesperus	0.008849558
1	109	Coccidae	Parthenolecanium corni	0.009174312
1	101	Aphididae	Acyrthosiphon (Acyrthosiphon) pisum	0.00990099
1	97	Diaspididae	Parlatoria proteus	0.010309278
1	97	Miridae	Plagiognathus albatus	0.010309278
1	85	Miridae	Parthenicus juniperi	0.011764706
1	71	Lygaeidae	Nysius raphanus	0.014084507
1	69	Miridae	Lopidea picta	0.014492754
1	68	Miridae	Dichrooscytus latifrons	0.014705882
1	63	Aphididae	Aphis (Protaphis) middletonii	0.015873016
1	60	Miridae	Lopidea nigridia	0.016666667
1	59	Membracidae	Ophiderma flava	0.016949153
1	55	Miridae	Phoenicocoris strobicola	0.018181818
1	53	Miridae	Tuxedo cruralis	0.018867925
1	50	Aphididae	Prociphilus (Meliarhizophagus) fraxinifolii	0.02
1	47	Miridae	Teleorhinus cyaneus	0.021276596
1	47	Miridae	Ectopiocerus anthracinus	0.021276596
1	42	Aphididae	Prociphilus (Neoparacletus) corrugatans	0.023809524
1	41	Miridae	Plagiognathus verticalis	0.024390244
1	41	Miridae	Pinalitus approximatus	0.024390244
1	38	Miridae	Tuxedo susansolomonae	0.026315789
1	37	Delphacidae	Stobaera tricarinata	0.027027027
1	35	Miridae	Tuxedo bicinctus	0.028571429
1	34	Miridae	Orthotylus albocostatus	0.029411765
1	29	Miridae	Izyaius sericeus	0.034482759
1	28	Diaspididae	Oceanaspidiotus spinosus	0.035714286
1	27	Miridae	Slaterocoris croceipes	0.037037037
1	26	Aphididae	Nearctaphis crataegifoliae	0.038461538
1	25	Diaspididae	Chionaspis pinifoliae	0.04
1	25	Miridae	Ceratocapsus modestus	0.04
1	25	Miridae	Closterocoris amoenus	0.04
1	23	Cicadellidae	Gyponana (Gyponana) hasta	0.043478261
1	23	Miridae	Ceratocapsus pumilus	0.043478261
1	22	Miridae	Orthotylus iolani	0.045454545
1	21	Lygaeidae	Kleidocerys resedae	0.047619048
1	21	Miridae	Chlamydatus keltoni	0.047619048
1	20	Membracidae	Telamona reclivata	0.05
1	19	Miridae	Plagiognathus punctatipes	0.052631579
1	17	Cicadellidae	Graphocephala coccinea	0.058823529
1	16	Anthocoridae	Orius tristicolor	0.0625
1	15	Miridae	Phoenicocoris dissimilis	0.066666667
1	15	Miridae	Dacerla alata	0.066666667
1	14	Cicadellidae	Gyponana (Gyponana) procera	0.071428571
1	14	Membracidae	Archasia auriculata	0.071428571
1	13	Miridae	Pruneocoris stonedahli	0.076923077
1	12	Miridae	Pseudopsallus puberus	0.083333333
1	12	Miridae	Orthotylus virescens	0.083333333
1	12	Miridae	Tupiocoris rhododendri	0.083333333
1	11	Miridae	Plagiognathus nigronitens	0.090909091
1	11	Miridae	Brooksetta malvastri	0.090909091
1	11	Miridae	Pseudopsallus mojaviensis	0.090909091
1	11	Pentatomidae	Thyanta pallidovirens	0.090909091
1	10	Aphididae	Kaltenbachiella ulmifusa	0.1
1	9	Delphacidae	Aloha dubantiae	0.111111111
1	9	Miridae	Lopidea salicis	0.111111111
1	6	Miridae	Lopidea media	0.166666667
1	5	Miridae	Saileria bella	0.2
1	5	Miridae	Notholopisca californica	0.2
1	5	Miridae	Deraeocoris nubilus	0.2
1	4	Cicadellidae	Pasadenus pasadenus	0.25
1	4	Coreidae	Leptoglossus zonatus	0.25
1	4	Delphacidae	Nesothoe eugeniae	0.25
1	3	Cicadellidae	Eratoneura gemina	0.333333333
1	3	Delphacidae	Dictyophorodelphax swezeyi	0.333333333
1	3	Miridae	Reuteria querci	0.333333333
1	3	Miridae	Diphleps unica	0.333333333
2	188	Membracidae	Atymna querci	0.010638298
2	132	Miridae	Pygovepres vaccinicola	0.015151515
2	49	Miridae	Plagiognathus politus	0.040816327
2	48	Miridae	Phallospinophylus setosus	0.041666667
2	44	Miridae	Aoplonema rubrum	0.045454545
2	37	Miridae	Atractotomus magnicornis	0.054054054
2	26	Aphididae	Acyrthosiphon (Acyrthosiphon) kondoi	0.076923077
2	10	Cicadellidae	Pasadenus margaritae	0.2
2	6	Aphididae	Eriosoma rileyi	0.333333333
2	6	Liviidae	Diclidophlebia fremontiae	0.333333333
2	6	Miridae	Pseudopsallus anograe	0.333333333
2	6	Miridae	Brooksetta incurva	0.333333333
2	5	Aphididae	Colopha ulmicola	0.4
2	4	Aphididae	Macrosiphum (Macrosiphum) rudbeckiarum	0.5
3	195	Aphididae	Aphis (Aphis) craccivora	0.015384615
3	152	Miridae	Psallovius piceicola	0.019736842
3	47	Miridae	Deraeocoris nebulosus	0.063829787
3	38	Miridae	Orthotylus flavosparsus	0.078947368
3	21	Aphididae	Ericaphis scoliopi	0.142857143
3	5	Miridae	Ceratocapsus blatchleyi	0.6
3	5	Miridae	Cyphopelta modesta	0.6
3	3	Aphididae	Myzocallis (Myzocallis) ulmifoliae	1
4	284	Miridae	Rhinacloa forticornis	0.014084507
4	82	Miridae	Blepharidopterus provancheri	0.048780488
4	24	Diaspididae	Diaspis digna	0.166666667
4	12	Miridae	Paraproba capitata	0.333333333
4	7	Delphacidae	Aloha flavocollaris	0.571428571
4	6	Diaspididae	Fissuraspis ulmi	0.666666667
4	6	Diaspididae	Fiorinia externa	0.666666667
5	368	Membracidae	Platycotis vittata	0.013586957
5	320	Miridae	Deraeocoris brevis	0.015625
5	54	Miridae	Hyaliodes vitripennis	0.092592593
5	13	Miridae	Blepharidopterus diaphanus	0.384615385
5	9	Miridae	Tuxedo drakei	0.555555556
5	6	Membracidae	Parantonae hispida hispida	0.833333333
5	6	Tingidae	Corythucha ulmi	0.833333333
5	5	Miridae	Phytocoris americanus	1
6	38	Miridae	Plagiognathus modestus	0.157894737
8	51	Aphididae	Calaphis betulaecolens	0.156862745
8	43	Diaspididae	Acutaspis morrisonorum	0.186046512
8	21	Membracidae	Atymna castaneae	0.380952381
9	15	Diaspididae	Chionaspis americana	0.6
11	14	Aphididae	Myzocallis (Myzocallis) castaneae	0.785714286
16	31	Aphididae	Eriosoma lanigerum	0.516129032
23	40	Aphididae	Tinocallis ulmifolii	0.575
28	33	Miridae	Plagiognathus tsugae	0.848484848
36	48	Aphididae	Eriosoma americanum	0.75
